Rw,C,RwC,Ctr,RwCtr,STC,OITC,nazwa EN,nazwa US,glass 1,gI,PVBI,spacer 1,S,glass 2,g II,PVB II,spacer 2,SII,glass 3,g III PVB III,,Laminat akustyczny,mm,kg/m2,Certyfikat,Certyfikat
42,-2,40,-6,36,,,"8/16/8,8T (VSG 44.2T) Acoustic",,8,8,,16 Ar,16,44.2 A,8,"0,76",-,,-,,,tak,"32,76","40,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw42-8-16Ar-44.2-T-akustic-swiadectwo-j.-angielski.pdf,
42,-1,41,-4,38,,,"10/24/8,8T (VSG 44.2T)",,10,10,,24 Ar,24,44.2,8,"0,76",-,,-,,,nie,"42,76","45,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw42-10-24Ar-44.2T-swiadectwo-j.-angielski.pdf,
42,-1,41,-5,37,,,"13,5 (VSG 66.4)/16/8T",,66.4,12,"1,52",16 Ar,16,8,8,,-,,-,,,nie,"37,52","50,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT_Rosenheim_Rw42-135-VSG-66.4-16-8T.pdf,
42,-2,40,-6,36,,,"8,8 (VSG 44.2) Acoustic/20/6T",,44.2 A,8,"0,76",20 Ar,20,6,6,,-,,-,,,tak,"34,76","35,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw42-VSG44.2-akustic-20Ar-6-en.pdf,
42,-3,39,-8,34,41,31,"8T/16/10,8 (VSG 55.2) Acoustic","8/16/10,8 (Lami. 55.2) Acoustic",8,8,,16 Ar,16,55.2 A,10,"0,76",-,,-,,,tak,"34,76","45,00",https://pressglass.com/wp-content/uploads/2019/02/Gryfitlab_Rw_42_IGU_8-16-1076aku.pdf,https://pressglass.com/wp-content/uploads/2019/02/Gryfitlab_Rw_42_IGU_8-16-1076aku.pdf
42,-2,40,-5,37,42,34,"8/20/10,8 (VSG 55.2)","8/20/10,8 (Lami. 55.2)",8,8,,20 Ar,20,55.2,10,"0,76",-,,-,,,nie,"38,76","45,00",https://www.pressglass.com/wp-content/uploads/2016/07/Gryfitlab-8-20-108-VSG-55.2-en.pdf,
42,-2,40,-6,36,42,34,"12,8 (VSG 66.2) Acoustic/12/8T","12,8 (Lami. 66.2) Acoustic/12/8",8,8,,12 Ar,12,66.2 A,12,"0,76",-,,-,,,tak,"32,76","50,00",https://pressglass.com/wp-content/uploads/2015/06/Gryfitlab_Rw_42_IGU_66.2aku-12-8-en.pdf,https://pressglass.com/wp-content/uploads/2015/06/Gryfitlab_Rw_42_IGU_66.2aku-12-8-pol.pdf
43,-2,41,-6,37,43,34,"8,8 (VSG 44.2) Acoustic/12/8,8T (VSG 44.2T)","8,8 (Lami. 44.2) Acoustic/12/8,8 (Lami. 44.2)",44.2 A,8,"0,76",12 Ar,12,44.2 ,8,"0,76",,,,,,tak,"29,52","40,00",https://pressglass.com/wp-content/uploads/2017/05/Gryfitlab_Rw_43_IGU_876aku-12-876-en.pdf,
43,-1,42,-5,38,43,35,"12,8 (VSG 66.2) Acoustic/12/10T","12,8 (Lami. 66.2) Acoustic/12/10",10,10,,12 Ar,12,66.2 A,12,"0,76",-,,-,,,tak,"34,76","55,00",https://pressglass.com/wp-content/uploads/2015/06/Gryfitlab_Rw_43_IGU_66.2aku-12-10-en.pdf,
43,-2,41,-6,37,,,"6/20/10,8T (VSG 55.2T) Acoustic",,55.2 A,10,"0,76",20 Ar,20,6,6,,-,,-,,,tak,"36,76","40,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw43-6-20Ar-VSG-55.2-akustic-swiadectwo-j.-angielski.pdf,
43,-2,41,-7,36,,,"9,5 (VSG 44.4)/16/12,8T (VSG 66.2T)",,44.4,8,"1,52",16 Ar,16,66.2,12,"0,76",-,,-,,,nie,"38,28","50,00",https://www.pressglass.com/wp-content/uploads/2016/07/13-003698-PR01-PB-Z2-H01-04-en-01_Deckblatt.pdf,
43,-2,41,-6,37,43,34,"12,8 (VSG 66.2)/12/8,8T (VSG 44.2T)","12,8 (Lami. 66.2)/12/8,8 (Lami. 44.2)",66.2,12,"0,76",12 Ar,12,44.2,8,"0,76",-,,-,,,nie,"33,52","50,00",https://pressglass.com/wp-content/uploads/2016/12/Gryfitlab_Rw_43_66.2-12-44.2-eng.pdf,https://pressglass.com/wp-content/uploads/2016/12/Gryfitlab_Rw_43_66.2-12-44.2-pol.pdf
43,-2,41,-4,39,43,37,"10/14/16,8T (VSG 88.2T)","10/14/16,8 (Lami. 88.2)",10,10,,14 Ar,14,88.2,16,"0,76",-,,-,,,nie,"40,76","65,00",https://pressglass.com/wp-content/uploads/2016/12/Gryfitlab_Rw_43_10-14-88.2-eng.pdf,
44,-1,43,-4,40,44,36,"16,8 (VSG 88.2) Acoustic/12/10T","16,8 (Lami. 88.2) Acoustic/12/10",10,10,,12 Ar,12,88.2 A,16,"0,76",-,,-,,,tak,"38,76","65,00",https://pressglass.com/wp-content/uploads/2015/06/Gryfitlab_Rw_44_88.aku-12-10-en.pdf,https://pressglass.com/wp-content/uploads/2015/06/Gryfitlab_Rw_44_88.aku-12-10-pol.pdf
44,-3,41,-7,37,,,"8/16/10,8T (VSG 55.2T) Acoustic",,8,8,,16 Ar,16,55.2 A,10,"0,76",-,,-,,,tak,"34,76","45,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw44-8-16Ar-VSG-55.2-akustic-swiadectwo-j.-angielski.pdf,
44,-2,42,-6,38,,,"8/20/8,4T (VSG 44.1T) Acoustic",,44.1 A,8,"0,5",20 Ar,20,8,8,,-,,-,,,tak,"36,50","40,00",https://www.pressglass.com/wp-content/uploads/2016/07/CIS-Rw44-8T-20Ar-44.1-Acoustic-en.pdf,
45,-3,42,-8,37,45,34,"8,8T (VSG 44.2T) Acoustic/16/8,8T (VSG 44.2T) Acoustic","8,8 (Lami. 44.2) Acoustic/16/8,8 (Lami. 44.2) Acoustic",44.2 A,8,"0,76",16 Ar,16,44.2 A,8,"0,76",-,,-,,,tak,"33,52","40,00",https://pressglass.com/wp-content/uploads/2018/11/GLA_Rw_45_IGU_876aku-16-876aku.pdf,https://pressglass.com/wp-content/uploads/2018/11/GLA_Rw_45_IGU_876aku-16-876aku-pl.pdf
45,-2,43,-6,39,,,"10/16/8,8T (VSG 44.2T) Acoustic",,10,10,,16 Ar,16,44.2 A,8,"0,76",-,,-,,,tak,"34,76","45,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw45-10-16Ar-VSG-44.2-akustic-swiadectwo-j.-angielski.pdf,
45,-1,44,-4,41,,,"10/16/12,8T (VSG 66.2T) Acoustic",,10,10,,16 Ar,16,66.2 A,12,"0,76",-,,-,,,tak,"38,76","55,00",https://www.pressglass.com/wp-content/uploads/2016/07/CIS-Rw45-10-16-66.2-Acoustic-en.pdf,
45,-2,43,-7,38,,,"10,8 (VSG 55.2) Acoustic/12/8,8T (VSG 44.2T) Acoustic",,55.2 A,10,"0,76",12 Ar,12,44.2 A,8,"0,76",-,,-,,,tak,"31,52","45,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT_Rosenheim_Rw45-VSG-55.2-Acoustic-12-VSG-44.2T-Acoustic.pdf,
46,-3,43,-7,39,,,"9,5 (VSG 44.4)/20/8,8T (VSG 44.2T) Acoustic",,44.4,8,"1,52",20 Ar,20,44.2 A,8,"0,76",-,,-,,,tak,"38,28","40,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw46-44.4-20Ar-VSG-44.2-akustic-swiadectwo-j.-angielski.pdf,
46,-1,45,-4,42,,,"10/20/10,8T (VSG 55.2T) Acoustic",,10,10,,20 Ar,20,55.2 A,10,"0,76",-,,-,,,tak,"40,76","50,00",https://www.pressglass.com/wp-content/uploads/2016/07/CIS-Rw46-10-20-55.2-Acoustic-en.pdf,
46,-1,45,-5,41,,,"10/20/8,8T (VSG 44.2T) Acoustic",,10,10,,20 Ar,20,44.2 A,8,"0,76",-,,-,,,tak,"38,76","45,00",https://www.pressglass.com/wp-content/uploads/2016/07/CIS-Rw46-10-20-44.2-Acoustic-en.pdf,https://www.pressglass.com/wp-content/uploads/2016/07/CIS-Rw46-10-20-44.2-Acoustic-pl.pdf
46,-1,45,-4,42,,,"13,5T (VSG 66.4T) Acoustic/20/8,8 (VSG 44.2)",,66.4 A,12,"1,52",20,20,44.2,8,"0,76",-,,-,,,tak,"42,28","50,00",https://www.pressglass.com/wp-content/uploads/2021/03/CSI_Rw_664T_aku-20-44.2_Eng_.pdf,
47,-1,46,-4,43,47,36,"11,5 (VSG 55.4)/20/13,5 (VSG 66.4)","11,5 (Lami. 55.4)/20/13,5 (Lami. 66.4)",55.4,10,"1,52",20 Ar,20,66.4,12,"1,52",-,,-,,,nie,"45,04","55,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw47-VSG-55.4-20Ar-VSG-66.2-en.pdf,
47,-2,45,-7,40,47,36,"12,8 (VSG 66.2) Acoustic/16/8,8T (VSG 44.2T) Acoustic","12,8 (Lami. 66.2) Acoustic/16/8,8 (Lami. 44.2) Acoustic",66.2 A,12,"0,76",16 Ar,16,44.2 A,8,"0,76",-,,,,,tak,"37,52","50,00",https://pressglass.com/wp-content/uploads/2017/05/Gryfitlab_Rw_47_IGU_12.76aku-16-8.76aku-en.pdf,https://pressglass.com/wp-content/uploads/2017/05/Gryfitlab_Rw_47_IGU_12.76aku-16-8.76aku-pl.pdf
48,-2,46,-6,42,48,38,"13,5T (VSG 66.4T) Acoustic/14/12,8T (VSG 66.2T) Acoustic","13,5 (Lami. 66.4) Acoustic/14/12,8 (Lami. 66.2) Acoustic",66.4 A,12,"1,52",14 Ar,14,66.2 A,12,"0,76",-,,-,,,tak,"40,28","60,00",https://pressglass.com/wp-content/uploads/2017/09/Gryfitlab_Rw_48_IGU_1352aku-14-1276aku_en.pdf,https://pressglass.com/wp-content/uploads/2017/09/Gryfitlab_Rw_48_IGU_1352aku-14-1276aku_pl.pdf
50,-1,49,-4,46,,,"16,8 (VSG 88.2) Acoustic/16/12,8T (VSG 66.2T) Acoustic",,88.2 A,16,"0,76",16 Ar,16,66.2 A,12,"0,76",-,,-,,,tak,"45,52","70,00",https://www.pressglass.com/wp-content/uploads/2016/07/CIS-Rw50-88.2-Acoustic-16-66.2-Acoustic-en.pdf,
51,-2,49,-7,44,,,"12,8 (VSG 66.2) Acoustic/20/8,8T (VSG 44.2T) Acoustic",,66.2 A,12,"0,76",20 Ar,20,44.2 A,8,"0,76",-,,-,,,tak,"41,52","50,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw51-VSG-66.2-akustic-20Ar-VSG-44.2-akustic-ang.pdf,https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw51-VSG-66.2-akustic-20Ar-VSG-44.2-akustic-pol.pdf
51,-1,50,-4,47,,,"15,5 (VSG 68.4) Acoustic/15/16,8T (VSG 88.2T) Acoustic",,68.4 A,14,"1,52",15 Ar,15,88.2 A,16,"0,76",-,,-,,,tak,"47,28","75,00",https://www.pressglass.com/wp-content/uploads/2016/07/CIS-Rw51-VSG6-152-Acoustic-8-15Ar-VSG8-076-Acoustic-8-en.pdf,https://www.pressglass.com/wp-content/uploads/2016/07/CIS-Rw51-VSG6-152-Acoustic-8-15Ar-VSG8-076-Acoustic-8-pl.pdf
51,-1,50,-3,48,,,"16,8 (VSG 88.2) Acoustic/20/12,8T (VSG 66.2T) Acoustic",,88.2 A,16,"0,76",20 Ar,20,66.2 A,12,"0,76",-,,-,,,tak,"49,52","70,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw51-VSG-88.2-akustic-20Ar-VSG-66.2-akustic-swiadectwo-j.-angielski.pdf,
